video_id,block_index,start_sec,end_sec,n_frames,subject,attribute,feature_mode
P001_S00,0,0.0,0.5625,3,0.9858134041527414,-0.017235398292541504,whole_frame
P001_S00,1,0.5625,1.3125,3,0.9917321737829683,-0.019751429557800293,whole_frame
P001_S00,2,1.3125,2.0625,3,0.9926645838727086,-0.013086169958114624,whole_frame
P001_S00,3,2.0625,2.8125,3,0.989525440463229,-0.014677673578262329,whole_frame
P001_S00,4,2.8125,3.5625,3,0.9856026257893978,-0.012641072273254395,whole_frame
P001_S00,5,3.5625,4.3125,3,0.9831130346387237,-0.012860983610153198,whole_frame
P001_S00,6,4.3125,5.0625,3,0.9785187419687079,-0.0048371851444244385,whole_frame
P001_S00,7,5.0625,5.8125,3,0.9646307052646165,-0.005725353956222534,whole_frame
P001_S00,8,5.8125,6.5625,3,0.9512545526768776,-0.007811516523361206,whole_frame
P001_S00,9,6.5625,7.3125,3,0.9346637670262468,-0.013697028160095215,whole_frame
P001_S00,10,7.3125,8.0625,3,0.9356351358768847,-0.012521117925643921,whole_frame
P001_S00,11,8.0625,8.8125,3,0.9582203214457657,-0.015247911214828491,whole_frame
P001_S00,12,8.8125,9.5625,3,0.9614011599622361,-0.0165594220161438,whole_frame
P001_S00,13,9.5625,10.3125,3,0.9518098535491435,-0.013405829668045044,whole_frame
P001_S00,14,10.3125,11.0625,3,0.9462830024496965,-0.014039799571037292,whole_frame
P001_S00,15,11.0625,11.8125,3,0.9487115514221564,-0.010687500238418579,whole_frame
P001_S00,16,11.8125,12.5625,3,0.9582578714612373,-0.015894055366516113,whole_frame
P001_S00,17,12.5625,13.3125,3,0.9616116109586024,-0.020299255847930908,whole_frame
P001_S00,18,13.3125,14.0625,3,0.9468486038081387,-0.015472173690795898,whole_frame
P001_S00,19,14.0625,14.8125,3,0.9396942817790906,-0.018281489610671997,whole_frame
P001_S00,20,14.8125,15.5625,3,0.9486534351081319,-0.02225993573665619,whole_frame
P001_S00,21,15.5625,16.3125,3,0.9255775194856186,-0.024779275059700012,whole_frame
P001_S00,22,16.3125,17.0625,3,0.9268197242713466,-0.024773985147476196,whole_frame
P001_S00,23,17.0625,17.8125,3,0.9257446104805288,-0.026761382818222046,whole_frame
P001_S00,24,17.8125,18.5625,3,0.9186765269915411,-0.021826818585395813,whole_frame
P001_S00,25,18.5625,19.3125,3,0.9241743412127205,-0.023083627223968506,whole_frame
P001_S00,26,19.3125,20.0625,3,0.9351382863225639,-0.01836368441581726,whole_frame
P001_S00,27,20.0625,20.8125,3,0.9319562833875803,-0.020986109972000122,whole_frame
P001_S00,28,20.8125,21.5625,3,0.9309843807559053,-0.017986148595809937,whole_frame
P001_S00,29,21.5625,22.3125,3,0.9248663097995274,-0.020684123039245605,whole_frame
P001_S00,30,22.3125,23.0625,3,0.9142152822050602,-0.020898878574371338,whole_frame
P001_S00,31,23.0625,23.8125,3,0.9003633373246065,-0.016785427927970886,whole_frame
P001_S00,32,23.8125,24.5625,3,0.8941172752145695,-0.01207093894481659,whole_frame
P001_S00,33,24.5625,25.3125,3,0.9064725431745657,-0.016309335827827454,whole_frame
P001_S00,34,25.3125,26.0625,3,0.9120642434846662,-0.016971051692962646,whole_frame
P001_S00,35,26.0625,26.8125,3,0.8538499018068596,-0.01246500015258789,whole_frame
P001_S00,36,26.8125,27.5625,3,0.8310300664216786,-0.012972235679626465,whole_frame
P001_S00,37,27.5625,28.3125,3,0.8369016999946417,-0.009963959455490112,whole_frame
P001_S00,38,28.3125,29.0625,3,0.8636494243533274,-0.007509827613830566,whole_frame
P001_S00,39,29.0625,29.8125,3,0.8669366643348726,-0.007216334342956543,whole_frame
P001_S00,40,29.8125,30.5625,3,0.8318209585734138,-0.011299222707748413,whole_frame
P001_S00,41,30.5625,31.3125,3,0.8355160689838389,-0.011382639408111572,whole_frame
P001_S00,42,31.3125,32.0625,3,0.7779908553371062,-0.01930573582649231,whole_frame
P001_S00,43,32.0625,32.8125,3,0.7676161529752188,-0.01929241418838501,whole_frame
P001_S00,44,32.8125,33.5625,3,0.9355972884239825,-0.022990688681602478,whole_frame
P001_S00,45,33.5625,34.3125,3,0.9557834464957577,-0.01890498399734497,whole_frame
P001_S00,46,34.3125,35.0625,3,0.9358054001296103,-0.013631612062454224,whole_frame
P001_S00,47,35.0625,35.8125,3,0.9194712743563076,-0.00950843095779419,whole_frame
P001_S00,48,35.8125,36.5625,3,0.9125873878521051,-0.009280085563659668,whole_frame
P001_S00,49,36.5625,37.3125,3,0.914358277879046,-0.016264677047729492,whole_frame
P001_S00,50,37.3125,38.0625,3,0.944873033695132,-0.01575160026550293,whole_frame
P001_S00,51,38.0625,38.8125,3,0.9236324276044139,-0.018698573112487793,whole_frame
P001_S00,52,38.8125,39.5625,3,0.9330467866707953,-0.01856522262096405,whole_frame
P001_S00,53,39.5625,40.3125,3,0.9467767888173606,-0.022745490074157715,whole_frame
P001_S00,54,40.3125,41.0625,3,0.9479646845027428,-0.02762170135974884,whole_frame
P001_S00,55,41.0625,41.8125,3,0.937873056183081,-0.02517656981945038,whole_frame
P001_S00,56,41.8125,42.5625,3,0.9218750849205761,-0.020330876111984253,whole_frame
P001_S00,57,42.5625,43.3125,3,0.9310781072558225,-0.022048786282539368,whole_frame
P001_S00,58,43.3125,44.0625,3,0.9358793395708865,-0.019105345010757446,whole_frame
P001_S00,59,44.0625,44.8125,3,0.9428311502731608,-0.01994292438030243,whole_frame
P001_S00,60,44.8125,45.5625,3,0.927652335773175,-0.017279788851737976,whole_frame
P001_S00,61,45.5625,46.3125,3,0.9219645484264813,-0.020256072282791138,whole_frame
P001_S00,62,46.3125,47.0625,3,0.9438156576998156,-0.01898162066936493,whole_frame
P001_S00,63,47.0625,47.8125,3,0.9395961997769099,-0.020085379481315613,whole_frame
P001_S00,64,47.8125,48.5625,3,0.9397478996379247,-0.016840100288391113,whole_frame
P001_S00,65,48.5625,49.3125,3,0.8630261950457759,-0.02572166919708252,whole_frame
P001_S00,66,49.3125,50.0625,3,0.8872890062356513,-0.022307544946670532,whole_frame
P001_S00,67,50.0625,50.8125,3,0.9695701464255222,-0.03284625709056854,whole_frame
P001_S00,68,50.8125,51.5625,3,0.9595924487518,-0.019137173891067505,whole_frame
P001_S00,69,51.5625,52.3125,3,0.9277840090730762,-0.01892179250717163,whole_frame
P001_S00,70,52.3125,53.0625,3,0.9445313218236472,-0.01563093066215515,whole_frame
P001_S00,71,53.0625,53.8125,3,0.9560764334119327,-0.0129193514585495,whole_frame
P001_S00,72,53.8125,54.5625,3,0.9412180957101018,-0.015792518854141235,whole_frame
P001_S00,73,54.5625,55.3125,3,0.9234186188395979,-0.014891326427459717,whole_frame
P001_S00,74,55.3125,56.0625,3,0.9347713253981265,-0.01724715530872345,whole_frame
P001_S00,75,56.0625,56.8125,3,0.9536957363708606,-0.018297508358955383,whole_frame
P001_S00,76,56.8125,57.5625,3,0.949549262365167,-0.018222689628601074,whole_frame
P001_S00,77,57.5625,58.3125,3,0.9556635215206685,-0.01792234182357788,whole_frame
P001_S00,78,58.3125,59.0625,3,0.957832008576122,-0.017550140619277954,whole_frame
P001_S00,79,59.0625,59.8125,3,0.9595366563157265,-0.01731020212173462,whole_frame
P001_S00,80,59.8125,60.0,3,0.9604097230330104,-0.013538330793380737,whole_frame
P003_S00,0,0.0,0.5625,3,0.9797932105569287,-0.023174628615379333,whole_frame
P003_S00,1,0.5625,1.3125,3,0.9885736969156439,-0.030544325709342957,whole_frame
P003_S00,2,1.3125,2.0625,3,0.9916370164887669,-0.015571773052215576,whole_frame
P003_S00,3,2.0625,2.8125,3,0.982844617399506,-0.018497362732887268,whole_frame
P003_S00,4,2.8125,3.5625,3,0.9677301337655628,-0.023579582571983337,whole_frame
P003_S00,5,3.5625,4.3125,3,0.9490804831513421,-0.026515185832977295,whole_frame
P003_S00,6,4.3125,5.0625,3,0.9304010990032281,-0.023715168237686157,whole_frame
P003_S00,7,5.0625,5.8125,3,0.9187640888205988,-0.0191076397895813,whole_frame
P003_S00,8,5.8125,6.5625,3,0.8975177451972235,-0.018628552556037903,whole_frame
P003_S00,9,6.5625,7.3125,3,0.9180149593288627,-0.011130645871162415,whole_frame
P003_S00,10,7.3125,8.0625,3,0.9446032195973911,-0.012300640344619751,whole_frame
P003_S00,11,8.0625,8.8125,3,0.9286725424851647,-0.011480957269668579,whole_frame
P003_S00,12,8.8125,9.5625,3,0.9329031602170188,-0.014526844024658203,whole_frame
P003_S00,13,9.5625,10.3125,3,0.9277906710370865,-0.022911906242370605,whole_frame
P003_S00,14,10.3125,11.0625,3,0.9373035179188998,-0.016967713832855225,whole_frame
P003_S00,15,11.0625,11.8125,3,0.9283790710557285,-0.019487440586090088,whole_frame
P003_S00,16,11.8125,12.5625,3,0.8933005300601113,-0.01832476258277893,whole_frame
P003_S00,17,12.5625,13.3125,3,0.8927575445150041,-0.02220781147480011,whole_frame
P003_S00,18,13.3125,14.0625,3,0.9084573781763743,-0.01945243775844574,whole_frame
P003_S00,19,14.0625,14.8125,3,0.85123043813587,-0.029742717742919922,whole_frame
P003_S00,20,14.8125,15.5625,3,0.8537892713024072,-0.025239691138267517,whole_frame
P003_S00,21,15.5625,16.3125,3,0.8469405553596487,-0.01789584755897522,whole_frame
P003_S00,22,16.3125,17.0625,3,0.8764636042006564,-0.023971065878868103,whole_frame
P003_S00,23,17.0625,17.8125,3,0.8360312117772566,-0.014621138572692871,whole_frame
P003_S00,24,17.8125,18.5625,3,0.8409172940603533,-0.026124119758605957,whole_frame
P003_S00,25,18.5625,19.3125,3,0.8376200936369584,-0.023719340562820435,whole_frame
P003_S00,26,19.3125,20.0625,3,0.8272429508214483,-0.016822338104248047,whole_frame
P003_S00,27,20.0625,20.8125,3,0.8335716606934962,-0.015134841203689575,whole_frame
P003_S00,28,20.8125,21.5625,3,0.8298016702237299,-0.01801198720932007,whole_frame
P003_S00,29,21.5625,22.3125,3,0.8126826954445407,-0.029229849576950073,whole_frame
P003_S00,30,22.3125,23.0625,3,0.7625336794356311,-0.024161338806152344,whole_frame
P003_S00,31,23.0625,23.8125,3,0.8004862025476147,-0.027887582778930664,whole_frame
P003_S00,32,23.8125,24.5625,3,0.8061669156197129,-0.03390437364578247,whole_frame
P003_S00,33,24.5625,25.3125,3,0.7957270641663219,-0.020093858242034912,whole_frame
P003_S00,34,25.3125,26.0625,3,0.7903765936631809,-0.026261329650878906,whole_frame
P003_S00,35,26.0625,26.8125,3,0.7999183866999419,-0.01906949281692505,whole_frame
P003_S00,36,26.8125,27.5625,3,0.785838709559927,-0.02405199408531189,whole_frame
P003_S00,37,27.5625,28.3125,3,0.7550327486555088,-0.0248095840215683,whole_frame
P003_S00,38,28.3125,29.0625,3,0.7201281593724327,-0.022819221019744873,whole_frame
P003_S00,39,29.0625,29.8125,3,0.6887058333987783,-0.022781118750572205,whole_frame
P003_S00,40,29.8125,30.5625,3,0.6419152266789439,-0.027843952178955078,whole_frame
P003_S00,41,30.5625,31.3125,3,0.6200703505220968,-0.027679026126861572,whole_frame
P003_S00,42,31.3125,32.0625,3,0.6155312789662885,-0.0223609060049057,whole_frame
P003_S00,43,32.0625,32.8125,3,0.6195100822431729,-0.024856537580490112,whole_frame
P003_S00,44,32.8125,33.5625,3,0.9289261208095136,-0.028458833694458008,whole_frame
P003_S00,45,33.5625,34.3125,3,0.9349149803983035,-0.034100860357284546,whole_frame
P003_S00,46,34.3125,35.0625,3,0.930727275287987,-0.03167364001274109,whole_frame
P003_S00,47,35.0625,35.8125,3,0.9186726243558521,-0.030851095914840698,whole_frame
P003_S00,48,35.8125,36.5625,3,0.8891782275935911,-0.03224074840545654,whole_frame
P003_S00,49,36.5625,37.3125,3,0.8441267266211212,-0.031839847564697266,whole_frame
P003_S00,50,37.3125,38.0625,3,0.8762829584002385,-0.030662864446640015,whole_frame
P003_S00,51,38.0625,38.8125,3,0.8693062976684476,-0.0343073308467865,whole_frame
P003_S00,52,38.8125,39.5625,3,0.8527334899091457,-0.0381263792514801,whole_frame
P003_S00,53,39.5625,40.3125,3,0.865552810177582,-0.03457321226596832,whole_frame
P003_S00,54,40.3125,41.0625,3,0.8574478826914107,-0.02857077121734619,whole_frame
P003_S00,55,41.0625,41.8125,3,0.8690025682389821,-0.031890228390693665,whole_frame
P003_S00,56,41.8125,42.5625,3,0.8679609216364701,-0.023962825536727905,whole_frame
P003_S00,57,42.5625,43.3125,3,0.8554581528784704,-0.024391651153564453,whole_frame
P003_S00,58,43.3125,44.0625,3,0.84896838061265,-0.03499273955821991,whole_frame
P003_S00,59,44.0625,44.8125,3,0.8391775245238673,-0.032400116324424744,whole_frame
P003_S00,60,44.8125,45.5625,3,0.8422305492968335,-0.03843918442726135,whole_frame
P003_S00,61,45.5625,46.3125,3,0.8627949127293761,-0.030178070068359375,whole_frame
P003_S00,62,46.3125,47.0625,3,0.8366155548263065,-0.026687532663345337,whole_frame
P003_S00,63,47.0625,47.8125,3,0.8490864865491863,-0.027064219117164612,whole_frame
P003_S00,64,47.8125,48.5625,3,0.8739448762919482,-0.037902623414993286,whole_frame
P003_S00,65,48.5625,49.3125,3,0.8352640093084664,-0.03114868700504303,whole_frame
P003_S00,66,49.3125,50.0625,3,0.7623268969895928,-0.03404989838600159,whole_frame
P003_S00,67,50.0625,50.8125,3,0.9550473103471062,-0.034795597195625305,whole_frame
P003_S00,68,50.8125,51.5625,3,0.9409204670001103,-0.03423886001110077,whole_frame
P003_S00,69,51.5625,52.3125,3,0.9459479357892908,-0.021482020616531372,whole_frame
P003_S00,70,52.3125,53.0625,3,0.9185301807799041,-0.023673802614212036,whole_frame
P003_S00,71,53.0625,53.8125,3,0.8630045622047099,-0.025935575366020203,whole_frame
P003_S00,72,53.8125,54.5625,3,0.8836726045485226,-0.02700364589691162,whole_frame
P003_S00,73,54.5625,55.3125,3,0.8548171529085238,-0.029162585735321045,whole_frame
P003_S00,74,55.3125,56.0625,3,0.8344066510417893,-0.028780847787857056,whole_frame
P003_S00,75,56.0625,56.8125,3,0.8591853090840005,-0.03392490744590759,whole_frame
P003_S00,76,56.8125,57.5625,3,0.8789299458640205,-0.033626288175582886,whole_frame
P003_S00,77,57.5625,58.3125,3,0.8781037808558958,-0.029322698712348938,whole_frame
P003_S00,78,58.3125,59.0625,3,0.8600696485802762,-0.030645698308944702,whole_frame
P003_S00,79,59.0625,59.8125,3,0.8657449444208714,-0.03505226969718933,whole_frame
P003_S00,80,59.8125,60.0,3,0.8503697618060122,-0.034686118364334106,whole_frame
P005_S00,0,0.0,0.5625,3,0.9849546378237232,-0.005340605974197388,whole_frame
P005_S00,1,0.5625,1.3125,3,0.9861894636205091,-0.004038631916046143,whole_frame
P005_S00,2,1.3125,2.0625,3,0.9905903730231439,-0.0029161274433135986,whole_frame
P005_S00,3,2.0625,2.8125,3,0.9810796464456863,-0.005566030740737915,whole_frame
P005_S00,4,2.8125,3.5625,3,0.9662925146328197,-0.0060415565967559814,whole_frame
P005_S00,5,3.5625,4.3125,3,0.9526287515503467,-0.005902975797653198,whole_frame
P005_S00,6,4.3125,5.0625,3,0.9507106607476814,-0.005867615342140198,whole_frame
P005_S00,7,5.0625,5.8125,3,0.9479823059027465,-0.003523796796798706,whole_frame
P005_S00,8,5.8125,6.5625,3,0.9603426867010489,-0.0040724873542785645,whole_frame
P005_S00,9,6.5625,7.3125,3,0.9553522858395549,-0.008920937776565552,whole_frame
P005_S00,10,7.3125,8.0625,3,0.9588635644244071,-0.006051391363143921,whole_frame
P005_S00,11,8.0625,8.8125,3,0.9558710923701479,-0.009275257587432861,whole_frame
P005_S00,12,8.8125,9.5625,3,0.9558461779430881,-0.0075698792934417725,whole_frame
P005_S00,13,9.5625,10.3125,3,0.9241888632344213,-0.007550984621047974,whole_frame
P005_S00,14,10.3125,11.0625,3,0.9490247857531877,-0.006179690361022949,whole_frame
P005_S00,15,11.0625,11.8125,3,0.9593765152415177,-0.009131789207458496,whole_frame
P005_S00,16,11.8125,12.5625,3,0.9306966197113729,-0.007321298122406006,whole_frame
P005_S00,17,12.5625,13.3125,3,0.944952026895324,-0.008986145257949829,whole_frame
P005_S00,18,13.3125,14.0625,3,0.9142090986957272,-0.00945746898651123,whole_frame
P005_S00,19,14.0625,14.8125,3,0.9369134254726654,-0.0071523189544677734,whole_frame
P005_S00,20,14.8125,15.5625,3,0.9431124249637197,-0.006796538829803467,whole_frame
P005_S00,21,15.5625,16.3125,3,0.912425084980766,-0.005224600434303284,whole_frame
P005_S00,22,16.3125,17.0625,3,0.940890451211674,-0.004828393459320068,whole_frame
P005_S00,23,17.0625,17.8125,3,0.9441847899964775,-0.010422468185424805,whole_frame
P005_S00,24,17.8125,18.5625,3,0.9418873296413217,-0.010588765144348145,whole_frame
P005_S00,25,18.5625,19.3125,3,0.9450027004180299,-0.00877872109413147,whole_frame
P005_S00,26,19.3125,20.0625,3,0.9432485692147939,-0.007390439510345459,whole_frame
P005_S00,27,20.0625,20.8125,3,0.9330446680069284,-0.0056085288524627686,whole_frame
P005_S00,28,20.8125,21.5625,3,0.929407046485526,0.0006439387798309326,whole_frame
P005_S00,29,21.5625,22.3125,3,0.919091984256856,-0.004300236701965332,whole_frame
P005_S00,30,22.3125,23.0625,3,0.887889593421531,-0.0031433403491973877,whole_frame
P005_S00,31,23.0625,23.8125,3,0.8889176705001993,-0.0027669668197631836,whole_frame
P005_S00,32,23.8125,24.5625,3,0.9076717368660535,-0.00114363431930542,whole_frame
P005_S00,33,24.5625,25.3125,3,0.8737803842223384,-0.0027496516704559326,whole_frame
P005_S00,34,25.3125,26.0625,3,0.8850763183170136,-0.020536154508590698,whole_frame
P005_S00,35,26.0625,26.8125,3,0.8888643841536583,-0.01506158709526062,whole_frame
P005_S00,36,26.8125,27.5625,3,0.8817452877657576,-0.009460628032684326,whole_frame
P005_S00,37,27.5625,28.3125,3,0.8583310097244412,-0.007245689630508423,whole_frame
P005_S00,38,28.3125,29.0625,3,0.8418730844030325,-0.010693460702896118,whole_frame
P005_S00,39,29.0625,29.8125,3,0.8475113199104816,-0.0022273659706115723,whole_frame
P005_S00,40,29.8125,30.5625,3,0.8299394652632452,0.0005712509155273438,whole_frame
P005_S00,41,30.5625,31.3125,3,0.824797002507427,-0.009262055158615112,whole_frame
P005_S00,42,31.3125,32.0625,3,0.7952344017882258,-0.003156617283821106,whole_frame
P005_S00,43,32.0625,32.8125,3,0.8053319478908547,0.0033932924270629883,whole_frame
P005_S00,44,32.8125,33.5625,3,0.8974560291810455,-0.01568925380706787,whole_frame
P005_S00,45,33.5625,34.3125,3,0.9275884046289036,-0.01905837655067444,whole_frame
